"Species","Season","Site","Start","End","City","Long","Lat","Crs","Week_1","Week_2","Week_3","Week_4","Week_5","Week_6","Week_7","Week_8","Week_9"
"coyote","AP18","J01-SEP1","2018-03-18","2018-05-14","chil",-87.63898576,41.90142019,4326,NA,NA,NA,NA,0,0,0,NA,NA
"coyote","AP18","J01-SKP1","2018-03-18","2018-05-14","chil",-87.66100717,41.87989095,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"coyote","AP18","J01-UIC1","2018-03-18","2018-05-14","chil",-87.6460853,41.86897406,4326,NA,NA,0,0,0,0,0,NA,NA
"coyote","AP18","R02-DPG1","2018-03-18","2018-05-14","chil",-87.69969807,41.86036917,4326,NA,NA,0,0,0,0,0,NA,NA
"coyote","AP18","R02-FRP1","2018-03-18","2018-05-14","chil",-87.73276152,41.86167611,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"coyote","AP18","R03-AUP1","2018-03-18","2018-05-14","chil",-87.76897765,41.88766256,4326,NA,NA,0,0,0,0,0,NA,NA
"coyote","AP18","R03-CPG1","2018-03-18","2018-05-14","chil",-87.7721358,41.87566237,4326,NA,NA,1,1,0,0,1,NA,NA
"coyote","AP18","R03-EUC1","2018-03-18","2018-05-14","chil",-87.79182537,41.86573343,4326,NA,NA,0,0,0,0,0,NA,NA
"coyote","AP18","R03-MAP1","2018-03-18","2018-05-14","chil",-87.80378089,41.86786605,4326,NA,NA,0,0,0,0,0,NA,NA
"coyote","AP18","R04-MMW0","2018-03-18","2018-05-14","chil",-87.83207106,41.85280337,4326,NA,NA,0,0,0,0,0,NA,NA
"coyote","AP18","R04-MMW3","2018-03-18","2018-05-14","chil",-87.82763197,41.86356253,4326,NA,NA,0,0,0,0,0,NA,NA
"coyote","AP18","R04-SCH1","2018-03-18","2018-05-14","chil",-87.8484205,41.85567851,4326,NA,NA,0,0,0,0,0,NA,NA
"coyote","AP18","R05-FMG1","2018-03-18","2018-05-14","chil",-87.91280438,41.84824061,4326,NA,NA,0,0,0,0,0,NA,NA
"coyote","AP18","R05-GOC1","2018-03-18","2018-05-14","chil",-87.88292622,41.85757554,4326,NA,NA,0,0,0,0,0,NA,NA
"coyote","AP18","R05-STP1","2018-03-18","2018-05-14","chil",-87.86937113,41.88326265,4326,NA,NA,0,0,0,0,0,NA,NA
"coyote","AP18","R06-OTB1","2018-03-18","2018-05-14","chil",-87.97779673,41.85248376,4326,NA,NA,0,0,0,0,0,NA,NA
"coyote","AP18","R06-SLT2","2018-03-18","2018-05-14","chil",-87.95678027,41.87464622,4326,NA,NA,1,0,1,0,1,NA,NA
"coyote","AP18","R06-YOW1","2018-03-18","2018-05-14","chil",-87.93312143,41.85870532,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"coyote","AP18","R07-FSP1","2018-03-18","2018-05-14","chil",-88.02228432,41.85090748,4326,NA,NA,0,0,0,0,0,NA,NA
"coyote","AP18","R07-GOF1","2018-03-18","2018-05-14","chil",-88.04194649,41.8658981,4326,NA,NA,0,1,1,0,0,NA,NA
"coyote","AP18","R07-MMP1","2018-03-18","2018-05-14","chil",-88.00296221,41.87405852,4326,NA,NA,0,0,0,0,0,NA,NA
"coyote","AP18","R07-YHR1","2018-03-18","2018-05-14","chil",-87.98972335,41.86578813,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
