Site,Species,Date.Time
Site2,Coyote,2021-10-20 09:48:51
Site2,Coyote,2021-10-24 05:24:26
Site2,Elk,2021-11-02 19:00:22
Site3,Moose,2021-10-19 00:33:46
Site3,Moose,2021-10-10 23:41:16
Site3,Moose,2021-10-05 10:22:57
Site3,Deer,2021-10-14 14:49:22
Site3,Deer,2021-10-12 10:11:07
Site3,Deer,2021-10-26 13:47:13
Site3,Deer,2021-10-08 19:48:55
Site3,Deer,2021-10-28 13:52:46
Site9,Coyote,2021-10-14 22:27:47
Site9,Coyote,2021-10-19 22:30:19
Site9,Coyote,2021-10-20 01:30:30
Site9,Puma,2021-10-22 05:10:53
Site9,Deer,2021-10-22 23:03:03
Site9,Deer,2021-11-04 13:32:02
Site9,Deer,2021-11-05 07:03:38
Site9,Deer,2021-11-04 13:35:27
Site9,Coyote,2021-11-04 13:44:54
Site9,Deer,2021-10-04 18:59:54
Site9,Deer,2021-10-10 19:40:54
Site9,Deer,2021-10-02 13:31:46
Site9,Deer,2021-10-02 17:36:56
Site9,Moose,2021-10-03 08:25:18
Site12,Moose,2021-09-20 19:55:53
Site12,Deer,2021-11-05 17:51:25
Site12,Deer,2021-11-05 08:40:27
Site12,Deer,2021-11-05 17:55:14
Site12,Deer,2021-09-19 16:00:11
Site12,Deer,2021-09-22 11:51:12
Site12,Puma,2021-09-24 20:47:59
Site12,Puma,2021-09-27 08:30:23
Site12,Deer,2021-09-28 09:17:56
Site12,Deer,2021-10-11 09:46:34
Site12,Deer,2021-10-11 18:02:09
Site12,Moose,2021-10-12 18:04:35
Site12,Deer,2021-10-20 17:49:43
Site12,Moose,2021-10-20 19:19:59
Site12,Deer,2021-10-23 11:59:23
Site12,Coyote,2021-10-28 04:10:53
Site12,Coyote,2021-10-29 13:18:09
Site12,Elk,2021-10-30 02:55:13
Site13,Deer,2021-10-03 18:48:02
Site13,Deer,2021-10-03 18:51:00
Site13,Deer,2021-10-04 13:16:18
Site13,Deer,2021-10-04 17:50:33
Site13,Deer,2021-10-04 13:18:35
Site13,Deer,2021-10-06 21:34:01
Site13,Moose,2021-10-06 04:46:31
Site13,Puma,2021-10-08 15:14:05
Site13,Elk,2021-10-16 08:51:51
Site13,Elk,2021-10-16 09:07:03
Site13,Elk,2021-10-16 09:11:58
Site13,Elk,2021-10-16 09:05:10
Site13,Elk,2021-10-16 09:45:11
Site13,Moose,2021-10-16 18:32:20
Site13,Deer,2021-10-17 16:06:22
Site13,Deer,2021-10-18 07:11:51
Site13,Elk,2021-10-27 12:03:55
Site13,Puma,2021-10-23 20:38:47
Site13,Deer,2021-10-28 08:35:06
Site13,Deer,2021-10-28 08:36:54
Site13,Coyote,2021-10-29 07:53:49
Site13,Coyote,2021-10-29 08:02:13
Site13,Coyote,2021-10-29 07:56:52
Site13,Coyote,2021-10-29 10:17:57
Site13,Elk,2021-10-29 17:37:28
Site13,Elk,2021-10-29 17:34:19
Site13,Deer,2021-11-01 09:14:54
Site13,Deer,2021-11-03 21:11:50
