Site,Date,Time,Time_L,Species,GroupSize,HeightM,DistanceM,CompassDegree,UtmX,UtmY,Lat,Long,AccuracyM,ElevationM,TrailMarker,Transect,Habitat,Scientist,ActivityBehavior,Cue,ID,Atsrix
FRK,19-07-11,18H 52M 0S,18:52,Avahi laniger,3,7,7,145,374754,8293710,-15.430576,49.832703,3,181,1350,F,Ridge,SF,Stop,See,219,0
FRK,19-07-11,18H 43M 0S,18:43,Avahi laniger,2,8,8,140,374751,8293698,-15.430684,49.832674,3,174,1425,F,Ridge,SF,Stop,See,220,0
FRK,19-07-11,18H 24M 0S,18:24,Avahi laniger,1,10,10,120,374540,8293613,-15.431442,49.830704,6,110,1675,F,Ridge,SF,Stop,See,221,0
FRK,20-07-11,18H 22M 0S,18:22,Avahi laniger,2,5,5,65,374493,8293588,-15.431666,49.830265,4,113,1725,F,Ridge,SF,Stop,See,222,0
FRK,28-06-11,19H 40M 0S,19:40,Eulemur albifrons,1,10,10,100,375365,8293959,-15.428355,49.838409,5,252,525,F,Ridge,SF,Stop,See,223,0
FRK,28-06-11,19H 40M 0S,19:40,Eulemur albifrons,1,10,10,120,375365,8293959,-15.428355,49.838409,5,252,525,F,Ridge,SF,Stop,See,224,0
FRK,28-06-11,19H 4M 0S,19:04,Eulemur albifrons,4,15,15,280,375120,8293790,-15.429871,49.836118,4,250,950,F,Ridge,SF,Stop,See,225,0
FRK,24-06-11,9H 15M 0S,09:15,Eulemur albifrons,2,10,10,20,375534,8294820,-15.420581,49.840027,4,298,1325,K,Ridge,SF,Jumping,See,226,0
FRK,07-07-11,18H 32M 0S,18:32,Eulemur albifrons,2,NA,NA,60,375405,8294911,-15.419752,49.83883,3,303,1475,K,Ridge,SF,NA,Hear,227,0
FRK,16-07-11,10H 33M 0S,10:33,Eulemur albifrons,2,0,0,220,375899,8292958,-15.437429,49.843335,6,99,2000,R,Ridge,SF,Stop,Hear,228,0
FRK,14-06-11,19H 16M 0S,19:16,Havomy,2,4,4,340,375149,8293841,-15.429411,49.83639,5,643,950,F,Ridge,SF,Stop,See,229,0
FRK,14-06-11,18H 44M 0S,18:44,Microcebus rufus,2,15,15,40,375365,8293966,-15.428292,49.838409,5,642,525,F,Ridge,SF,Stop,See,230,0
FRK,04-07-11,19H 38M 0S,19:38,Microcebus rufus,1,1.5,1.5,160,375234,8293972,-15.428231,49.837189,3,278,750,F,Ridge,SF,Stop,See,231,0
FRK,19-07-11,19H 27M 0S,19:27,Microcebus rufus,1,1,1,27,375226,8293960,-15.428339,49.837114,4,292,775,F,Ridge,SF,Jumping,See,232,0
FRK,20-07-11,19H 28M 0S,19:28,Microcebus rufus,1,2,2,120,375235,8293970,-15.428249,49.837198,5,305,775,F,Ridge,SF,Jumping,See,233,0
FRK,11-07-11,19H 20M 0S,19:20,Microcebus rufus,1,1,1,320,375196,8293926,-15.428645,49.836833,6,NA,800,F,Ridge,SF,Jumping,See,234,0
FRK,11-07-11,18H 45M 0S,18:45,Microcebus rufus,1,9,9,20,374895,8293763,-15.430104,49.83402,3,237,1200,F,Ridge,SF,Jumping,See,235,0
FRK,04-07-11,19H 15M 0S,19:15,Microcebus rufus,1,0.5,0.5,240,374905,8293770,-15.430041,49.834113,3,224,1225,F,Ridge,SF,Stop,See,236,0
FRK,04-07-11,18H 53M 0S,18:53,Microcebus rufus,1,1,1,20,374720,8293702,-15.430647,49.832386,3,159,1425,F,Ridge,SF,Stop,See,237,0
FRK,20-07-11,18H 28M 0S,18:28,Microcebus rufus,1,1,1,100,374521,8293601,-15.43155,49.830526,3,116,1625,F,Ridge,SF,Jumping,See,238,0
FRK,20-07-11,18H 17M 0S,18:17,Microcebus rufus,1,1,1,310,374495,8293565,-15.431874,49.830282,3,113,1725,F,Ridge,SF,Jumping,See,239,0
FRK,24-06-11,18H 50M 0S,18:50,Microcebus rufus,1,1.8,1.8,60,375816,8294537,-15.423152,49.842641,3,216,825,K,Ridge,SF,Jumping,See,240,0
FRK,18-07-11,19H 30M 0S,19:30,Microcebus rufus,1,10,10,340,375806,8294535,-15.42317,49.842547,3,221,850,K,Ridge,SF,Stop,See,241,0
FRK,07-07-11,19H 15M 0S,19:15,Microcebus rufus,2,1,1,140,375767,8294599,-15.42259,49.842187,4,218,925,K,Ridge,SF,Stop,See,242,0
FRK,07-07-11,19H 0M 0S,19:00,Microcebus rufus,1,1,1,200,375667,8294766,-15.421075,49.841264,4,302,1150,K,Ridge,SF,Stop,See,243,0
FRK,20-06-11,18H 41M 0S,18:41,Microcebus rufus,1,3,3,160,375651,8294790,-15.420858,49.841116,6,378,1175,K,Ridge,SF,Jumping,See,244,0
FRK,07-07-11,18H 47M 0S,18:47,Microcebus rufus,2,15,15,120,375521,8294863,-15.420191,49.839908,3,305,1325,K,Ridge,SF,Jumping,See,245,0
SLJ,02-03-11,19H 17M 0S,19:17,Avahi laniger,3,15,15,340,368569,8309755,-15.285237,49.775914,3,377,1625,V,Ridge,SF,Stop,NA,246,0
