Site,Date,Time,Species,group,Height,Distance,Compass,UTM_X,UTM_Y,Lat,Long,Accuracy,Elevation,Trail_Marker,Transect,Habitat,nose,Behavior,Cue
3AJB,02-09-11,18:04,Microcebus rufus*,2,5,7,160,351779,8320830,-15.184227,49.620223,4,583,1700,C,Slope,RF,Stop,
3AJB,05-09-11,19:50,Microcebus rufus*,1,2.5,7,240,352382,8319313,-15.197973,49.625746,5,507,1400,R,Slope,RF,Stop and Jumping ,
4AJB,06-08-12,18:41,Avahi laniger,1,5,7,160,351772,8320747,-15.184977,49.620153,5,560,1600,C,Slope,RF,Jumping,See
4AJB,02-10-12,19:21,Avahi laniger,1,8,7,110,351118,8320380,-15.188256,49.614045,4,452,725,C,Slope,RF,Stop,See
4AJB,02-10-12,18:34,Microcebus rufus,1,8,7,160,352570,8319573,-15.195633,49.627512,4,524,1900,R,Slope,RF,Jumping,See
SOA,01-04-11,19:33,Avahi laniger,1,8,7,60,333084,8345424,-14.960817,49.447849,5,994,1150,B,Slope,RF,Stop,Seen
SOA,04-04-11,18:50,Avahi laniger,2,6,7,340,333225,8345194,-14.962905,49.449145,4,971,725,B,Slope,RF,Stop,Seen
SOA,15-04-11,19:12,Avahi laniger,1,10,7,320,333228,8345165,-14.963167,49.449171,5,1059,725,B,Slope,RF,Stop,Seen
SOA,18-04-11,18:32,Avahi laniger,1,4,7,80,333753,8346036,-14.955328,49.454108,4,1072,1875,D,Slope,RF,Jumping,Seen
SOA,18-04-11,18:45,Avahi laniger,2,4,7,40,333824,8345989,-14.955758,49.454765,4,1099,1725,D,Slope,RF,Jumping,Seen
SOA,19-04-11,20:14,Avahi laniger,1,8,7,40,334179,8346622,-14.950059,49.458106,4,1140,725,D,Slope,RF,Stop,Seen
SOA,26-04-11,19:25,Avahi laniger,2,6,7,140,334163,8346387,-14.952182,49.457942,4,1145,1100,D,Slope,RF,Stop,Seen
SOA,26-04-11,20:40,Avahi laniger,2,4,7,340,333754,8346033,-14.955356,49.454117,4,1084,1875,D,Slope,RF,Stop,Seen
SOA,03-05-11,20:45,Avahi laniger,1,10,7,260,333722,8346034,-14.955344,49.45382,4,1072,1925,D,Slope,RF,Stop,Seen
SOA,08-05-11,19:44,Avahi laniger,2,6,7,240,334249,8346461,-14.951518,49.458746,4,1146,1000,D,Slope,RF,Stop,Seen
SOA,01-04-11,09:05,Eulemur albifrons,8,11,7,220,333066,8345394,-14.961087,49.44768,4,997,1000,B,Slope,RF,Jumping,Seen
SOA,01-04-11,20:12,Eulemur albifrons,4,12,7,240,332968,8345866,-14.956815,49.446799,3,1017,1525,B,Slope,RF,Stop,Seen
SOA,01-04-11,20:28,Eulemur albifrons,8,18,7,60,333128,8345941,-14.956148,49.448292,4,990,1800,B,Slope,RF,Stop,Seen
