"sites","LocationName.geometry","water","lawn_grass","urban_low","urban_med","urban_high","forest","shrub","herbaceous","wetland","ag"
"R10-WCP0",c(-88.2299927, 41.88948618),0.000261429086094722,0.0920177176594734,0.148900806903839,0.123219527304173,0.194736137986183,0.183176659164019,0.0138303814455867,0.00156857445836067,0.135572507977486,0.105090536177158
"R10-WDW0",c(-88.19222479, 41.86593136),0,0.152586027979851,0.392742842435837,0.18063984811306,0.042786993086338,0.141846157610416,0,0.00386718567460775,0.0855309376202058,0
"S02-BNS1",c(-87.59306926, 41.81198992),0.274454951286316,0.00915883015841246,0.1358462870121,0.366361349821091,0.165853172540665,0.000261680863332003,0.00261680851690471,0.0034018512815237,0,0.00287848943844438
"S02-BRI1",c(-87.69796061, 41.829108),0.0310190934687853,0.000784687756095082,0.0178888812661171,0.327358692884445,0.622687041759491,0,0,0.000261562585365027,0,0
"S02-PIP1",c(-87.73000452, 41.83325462),0.00298399478197098,0.00810929480940104,0.0153632387518883,0.401637583971024,0.541387915611267,0,0,0,0,0
"S02-PLP1",c(-87.64874972, 41.84407767),0.00913535244762897,0.00130748259834945,0.00906759407371283,0.213404938578606,0.764290690422058,0,0,0.000701957964338362,0,0
"S02-TNW1",c(-87.60065692, 41.82389815),0.330203473567963,0.00706210266798735,0.0881966352462769,0.378213942050934,0.144625201821327,0,0,0.0126666631549597,0,0.0028771529905498
"S03-JKP2",c(-87.58010698, 41.78574236),0.308296769857407,0.0875896066427231,0.116619110107422,0.245338961482048,0.126131370663643,0.00549774803221226,0.00630728621035814,0.0386539697647095,0.00314157037064433,0
"S03-LCP1",c(-87.75085536, 41.81401666),0.0191524252295494,0.0034004426561296,0.0632514655590057,0.435172200202942,0.469868421554565,0,0,0.00653931265696883,0,0
"S03-PSP1",c(-87.73172978, 41.7880381),0,0.0057564596645534,0.0133347986266017,0.669079303741455,0.309212863445282,0,0,0,0,0
"S03-VIP1",c(-87.7478189, 41.80241759),0,0.00654294807463884,0.0165163781493902,0.627688109874725,0.343494743108749,0,0,0.0023554612416774,0,0
"S03-WAP1",c(-87.71888828, 41.81169474),0,0.00287742796353996,0.00804139673709869,0.315365135669708,0.673716008663177,0,0,0,0,0
"S04-HAP1",c(-87.77935426, 41.7803347),0,0.0126550393179059,0.0179660972207785,0.681110560894012,0.284245103597641,0,0,0.00157107762061059,0,0
"S04-OTW1",c(-87.80373503, 41.81511794),0.031806830316782,0.0471666865050793,0.195948883891106,0.432436525821686,0.0826001614332199,0.0220600531902164,0,0.00104618724435568,0.180919069331139,0.00418474897742271
"S04-SSP1",c(-87.79732651, 41.79931501),0.0340159013867378,0.00815842021256685,0.0863448977470398,0.56482869386673,0.250484228134155,0.0176984071731567,0,0.00687310285866261,0.00338567185099237,1.02997246358427e-05
"S05-LNC1",c(-87.84473133, 41.74274601),0.00471206847578287,0.0375011190772057,0.336212486028671,0.402439206838608,0.108581088483334,0.0850715461419895,0,0.00146767636761069,0.0232294574379921,0
"S05-RES1",c(-87.82363466, 41.76135893),0,0.0626575499773026,0.349631637334824,0.383905947208405,0.203019872307777,0,0,0,0,0
"S05-SFP0",c(-87.85898612, 41.75885485),0.095503568649292,0.0220333859324455,0.119792364537716,0.187491253018379,0.327442169189453,0.0187052804976702,0,0.0579838529229164,0.0487944390624762,0.0199747923761606
